review_id,true_category,predicted_category,shap_top_words,lime_top_words,review_text,coherent_Y_N,notes
26d100a3-587f-4253-b6b7-2f45d4b9db86,Bug Report,Bug Report,"app, crashing, keeps, latest, update","app, crashing, keeps, latest, update",latest update app keeps crashing?????,Y,"SHAP and LIME agree exactly; top words (crashing, keeps, update) directly name the malfunction described in the text."
bdf8ca1d-9ea2-450d-a2ed-ce0cb1e07681,Positive Praise,Positive Praise,"for, go, it, me, trust","for, go, it, me, trust",go for it trust me,N,"Top words are all function words (for, go, it, me, trust); none carries positive sentiment specific to Positive Praise, and 'trust' is context-dependent, so the explanation gives no real signal for the predicted label."
126ff05e-baf1-49e7-b073-2b232969c6dd,Positive Praise,Positive Praise,"for, i, it, school, use","for, i, it, school, use",i use it for school,N,"Top words (for, i, it, school, use) are purely descriptive stopwords; nothing signals praise. The review is a factual use-case statement, not an expression of opinion."
dd292374-4eea-4535-b9cc-256638d551a5,Bug Report,Feature Request,"an, email, option, there, via","an, is, option, reminder, there",very convenient. is there an option for tagging others for a reminder via email or whatsapp?,Y,"Top words (option, there, reminder / email, via) match the requested-feature framing ('is there an option for...'), so the explanation is coherent with the Feature Request prediction even though it disagrees with the true Bug Report label."
53404cfc-bdbc-4c87-b17c-8104f428c0dc,Feature Request,Bug Report,"delete, don, option, still, t","delete, don, logged, still, t",still don t see any option to delete an entire meal which i logged,Y,"Top words (delete, option, still) plausibly support the missing-functionality reading behind the Bug Report prediction ('still don t see any option to delete')."
6d6f9b8b-e51f-46bf-9c4c-44d9e28bef13,Bug Report,Bug Report,"3x, at, payment, since, try","i, payment, section, try, when",i try to sign in when it reach payment section i put my card details and i was debited 3x but it didn t not reflect on d app at all since june 6,Y,"Top words (3x, payment, since, try / payment, section) point directly at the duplicate-charge malfunction, coherent with Bug Report."
f9c72bb4-1200-41f0-b156-2d4c2183a00a,UX Feedback,UX Feedback,"access, of, pay, sadly, you","access, calm, pay, sadly, to",sadly you have to pay to access most of the calm category,Y,"Top words (access, pay, sadly / calm) capture the paywall friction that is the substance of the UX complaint."
7ef2edd5-f28a-4791-8355-d4494ddeadbb,Bug Report,Bug Report,"5, fix, incredible, its, star","5, bugs, fix, incredible, star",some bugs but incredible app. i pay for it. fix the bugs its a 5 star app,N,"Although LIME surfaces 'bugs' and both lists include 'fix', the explanation is dominated by 5-star praise tokens (5, incredible, star); the bug signal is outweighed, so it is a weak justification for the Bug Report prediction."
7922b1a9-953e-4792-94ae-9934b118514b,Positive Praise,Bug Report,"had, not, thought, tin, to","awake, ended, had, review, story",had to just leave this review. struggling to sleep and opened the app for a little sleep story and saw the terms of service one and thought surely not. but it was exactly what it said on the tin. ende,N,"Top words (had, not, thought, tin / awake, ended, review, story) are generic and give no indication of a malfunction; the text is praise for a feature, unrelated to the Bug Report prediction."
bfb8083c-a9bc-4383-841a-040fe4d0c8eb,Positive Praise,Positive Praise,"all, are, arranged, awesome, things","all, arranged, awesome, so, things","awesome, all things are so arranged",Y,"'awesome' is an explicit, unambiguous positive-sentiment word (present in both SHAP and LIME) supporting Positive Praise."
68cce457-5dd1-4a52-b260-1689eba6b545,Positive Praise,Positive Praise,"4, corporate, for, mindfulness, stars","4, corporate, for, mindfulness, stars",4 stars for corporate mindfulness,Y,"'4 stars' is an explicit numeric rating signal, not a generic topical word; SHAP and LIME fully agree, supporting Positive Praise."
