review_id,review_text,category_name,model_would_say,model_confidence,suspect_rank
6648fe86-9bbf-41ce-b61b-83e4de8efb12,"We should be able to hide or delete the ""Tasks"" section. It's redundant. I think it accomplishes its goal well, but the app could be more ""clean"" for those who like pithiness.",Positive Praise,UX Feedback,0.5105,1
14c742c2-573c-4f19-8794-b7007b81fccb,"Changing my review from 5 to 1 - The new update is Bull, you cant even see the basal calories + cal burnt - cal ate = cal left.. it is so effing simple and main purpose of this app.. this is stupid",Positive Praise,UX Feedback,0.4679,2
93e24435-2402-46d6-83ce-7062abd0f82f,6 0ut of 10. Would be a 10 out of 10 if the app allowed MyFitnessPal to read weight from my Heath Connect data. It's so frustrating that it doesn't allow this basic function.,Positive Praise,UX Feedback,0.5284,3
32fd7e1d-f433-488e-b50c-058b99410a31,website olds rules on my device Samsung galaxy A13 and A175F apps and network reset by new privacy DNTL2026 and farewell to all suspicious sites and public services,Positive Praise,Bug Report,0.7636,4
2000c077-a9b5-46bd-a743-14d159209d6e,"System works ok. But setup has become hard to manage. System now looks for the passport chip using NFC. What a disaster. Using an up to date Samsung xcover 6 which is a reasonable standard and no dice. Appears to be a manual option to verify. But instead goes in a dam loop, looking for that NFC again. Waste of time. Tried putting through the passport as ""ID Card"" hope it works... Unsatisfactory.",Feature Request,Bug Report,0.4885,5
2c6c7d23-a62a-4ad0-97d6-938fb23cb81e,it doesn't wants to workk,Feature Request,Bug Report,0.7503,6
9e980bf3-d307-436f-b8f6-a2605f3eee8d,"Great app, but unfortunately the widget keep bugging out, flickering it's contents, showing ""loading"", empty and my tasks at the same time.",Positive Praise,Bug Report,0.5662,7
218a7a24-470a-484c-bb04-42c4923c3031,"update, seems to be ok on A16. widgets won't refresh on Android 12.",Positive Praise,Bug Report,0.8402,8
ef8c53aa-5e09-4f53-b91f-ed35018c50e6,"I'm a musicholic or whatever is it, This app really better than anything. I don't really spend money on apps but I don't care about the ads, especially when I was on Bla bla sad mood lol, I mean the ads make my sad mood ruin. And yes I been using this for 4 years I don't really remember. Edit: There's some problems with some songs, which some of em got hacked, the songs that I know got hacked is trendy songs.. I hope it'll fix.",Positive Praise,Bug Report,0.6139,9
3e79c6e2-de6b-48f7-87fa-cba310adf415,"nevEr get rewards sent , probably messed up somewhere",Positive Praise,UX Feedback,0.4885,10
b9e73763-99e6-436a-bde6-7a52addddde9,"Not able to silent a call when I am not interested to receive. I would expect same behavior like phone call, either flipping the phone or pressing the lock screen button.",Positive Praise,Bug Report,0.6233,11
58e956ec-2a74-4ce9-8c70-39fcb36f106c,it was good at past I was spending my whole day on insta. waching reels and texting but recently the meta ai is so disgusting. my countless account banded and not only insta also Facebook,Positive Praise,Bug Report,0.5002,12
c26aa033-9878-4faf-9d2c-d2e5989808cd,"chintu_pandit_uk ""My account was disabled and I have already submitted an appeal, but I have not received any response.""",Positive Praise,Bug Report,0.5385,13
aab9033a-6bd1-4c24-b380-537dd027f306,I'm playing a game on the system it's telling me I'm getting paid but I don't see the money is it a lie,Positive Praise,Bug Report,0.5144,14
063f29d8-4a5c-404b-bb42-5174b80055a7,it's good but I can't purchase premium it's saying unavailable in my country which sucks,Positive Praise,UX Feedback,0.6452,15
d09f8aed-bcca-42f2-9bca-0d3c08afdcd2,sometimes some vidoes download doesn't start but others download just fine,Positive Praise,Bug Report,0.5884,16
de0d3208-dba5-44a7-806f-77fd83a38a85,"I'd put a bad review because the app wouldn't even open, saying the internet isn't working even though all other apps also used online and we're working perfectly. I'm removing it since what Spotify said actually worked, thank you 😊",Positive Praise,Bug Report,0.6382,17
1082fc14-49ac-461b-a1ff-700ecb7931f8,"too much price for the essential features,and does not have a lifetime access, only recurring plan.",Feature Request,UX Feedback,0.7943,18
338de88c-97c5-4f64-a856-a63373f0aaa0,Stinks you have to pay to use the bar code scanner but this has been key in losing 53 lbs!,Positive Praise,UX Feedback,0.6319,19
92390a3d-d8b1-4183-b56b-ac0f05e6abe3,Cancelling my subscription and will be uninstalling. Lot of podcasts wouldn't play even after trying all the troubleshooting suggested in the Spotify page or other TS from the internet.,Feature Request,UX Feedback,0.6872,20
f958f047-0864-43f1-b23f-e98e7f0d554b,it's saying my orange card that I use does not recognise my phone and no where I tap phone to pay will work,Positive Praise,Bug Report,0.809,21
84796a1c-84b5-4e67-86c5-b75d0be6a933,"It's hard to get exact measurements. For instance, it may show 1 cup of something or 3 oz, but if you only eat 1/4 of a cup or 1 oz, you have to record the greater amount.",Positive Praise,UX Feedback,0.4018,22
51bdf1c5-412d-49d8-ab8a-79ac8716ffeb,I didn't realize this app went that deep... this has become apart of my daily routine,Positive Praise,Bug Report,0.6878,23
